"Country","Year","rg"
"Paraguay","2001","17.226899754286"
"Paraguay","2002","22.657004679659"
"Paraguay","2003","32.72078189982"
"Paraguay","2004","19.981313594348"
"Paraguay","2005","17.034850828864"
"Paraguay","2006","19.066004101693"
"Paraguay","2007","9.0583502457131"
"Paraguay","2008","9.1831246511973"
"Paraguay","2009","28.28723539233"
"Paraguay","2010","13.201762399491"
"Paraguay","2011","7.4058473825206"
"Paraguay","2012","12.49426983671"
"Paraguay","2013","6.0120851582155"
"Paraguay","2014","12.519944330204"
"Paraguay","2015","14.845742446163"
"Paraguay","2016","9.0865990757794"
"Paraguay","2017","9.7093886111856"
"Paraguay","2018","10.292962634571"
"Paraguay","2019","12.453326070859"
"Paraguay","2020","11.889000088696"
"Paraguay","2021","-0.25478743416912"
"Paraguay","2022","-2.090566671644"
"Paraguay","2023","-1.1320228540335"
"Paraguay","2024","-1.8354027172853"
"Uruguay","1997","27.337043725924"
"Uruguay","1998","34.436206339193"
"Uruguay","1999","47.86919441447"
"Uruguay","2000","44.396923958333"
"Uruguay","2001","47.006421362957"
"Uruguay","2002","101.61507810198"
"Uruguay","2003","35.581298941179"
"Uruguay","2004","7.3282787067882"
"Uruguay","2005","5.344585572923"
"Uruguay","2006","-2.3910888715841"
"Uruguay","2007","-7.7466705844696"
"Uruguay","2008","-3.9445857083616"
"Uruguay","2009","1.9387842313767"
"Uruguay","2010","-3.4695023131961"
"Uruguay","2011","-5.2851869357806"
"Uruguay","2012","-1.8673959079493"
"Uruguay","2013","-1.448768779485"
"Uruguay","2014","1.6207693188257"
"Uruguay","2015","5.0486715819254"
"Uruguay","2016","5.7005664587134"
"Uruguay","2017","6.0151260566726"
"Uruguay","2018","4.1483151765317"
"Uruguay","2019","2.1491285542747"
"Uruguay","2020","7.8586505811407"
"Uruguay","2021","-9.0621413462704"
"Uruguay","2022","0.93776304977575"
"Uruguay","2023","7.5023508590662"
"Uruguay","2024","2.2959535459003"
